year,background,cnt,country,female,age,diffgrade,fisced,misced,momwork,dadwork,hisei,homepos,pcgirls,private,metropolis,scoremath,pv1math,pv2math,pv3math,pv4math,pv5math,stweight,ggi,parliament90,parliament97,flp_90,gdppc,hdi,lgdppc,obs,norigin,stratum2003,hostregion,stratum2006,stratum2009,stratum2012
2012,Bolivia,ARG,Argentina,1,15.83,1,0,0,0,1,22.57,-1.68,0.585,0,0,373.74203,369.5358,385.1145,353.1781,348.5044,412.3773,96.3527,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,,ARG0004
2012,Bolivia,ARG,Argentina,1,15.33,0,5,0,1,1,35.34,-0.29,0.556,0,1,326.69421,324.3574,340.7151,323.5784,310.3365,334.4836,17.7581,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2012,Bolivia,ARG,Argentina,1,15.92,0,4,1,0,1,60.44,0.8,0.554,1,0,446.65057,469.5513,429.0466,450.0779,439.9517,444.6253,24.0985,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,0,16.17000008,0,4,4,0,1,19,-0.492399991,0.526484966,1,0,370.784,345.0799866,412.0700073,395.7099915,359.8800049,341.1799927,270.3858948,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,0,16.17,0,1,0,0,1,28.84,-3.69,0.502,0,0,292.49884,342.3508,280.8148,289.3831,305.7408,244.2047,104.3947,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,,ARG0001
2009,Bolivia,ARG,Argentina,1,16,0,4,1,1,1,23,-2.450200081,0.640416026,0,1,282.60599,302.2399902,186.9499969,319.3699951,327.1600037,277.3099976,124.6365967,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,3204,
2009,Bolivia,ARG,Argentina,1,15.75,0,5,5,1,1,43,-1.604799986,0.56535399,0,0,347.95999,349.0499878,311.6600037,366.1900024,373.980011,338.9200134,26.80990028,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3203,,3203,
2012,Bolivia,ARG,Argentina,0,15.58,0,0,1,0,1,22.57,-1.54,0.333,0,1,367.5105,347.2581,341.0266,395.5523,383.8682,369.8473,10.3734,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
2009,Bolivia,ARG,Argentina,1,15.92000008,0,1,0,0,1,36,-1.760499954,0.48743698,0,0,420.16602,456.7799988,429.5100098,422.5,368.7600098,423.2799988,71.9108963,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3204,,3204,
2009,Bolivia,ARG,Argentina,1,15.57999992,0,2,4,0,1,30,-0.986699998,0.639928997,1,0,402.25,392.4400024,428.269989,327.7799988,393.9899902,468.769989,111.2242966,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3201,,3201,
2012,Bolivia,ARG,Argentina,1,15.25,0,2,5,0,1,21.24,-1.06,0.182,0,0,444.08005,442.0548,438.9391,421.0235,448.2863,470.0966,16.221,0.66926706,0.090000004,7,50.330002,3791.675,0.65899998,8.2405634,131,4,,3202,,,ARG0102
